0.437,0.567,11,-12.797,1,0.0386,0.366,0.846,0.175,0.326,130.147,audio_features,589AelScFm0FYQ4VG1biJi,spotify:track:589AelScFm0FYQ4VG1biJi,https://api.spotify.com/v1/tracks/589AelScFm0FYQ4VG1biJi,https://api.spotify.com/v1/audio-analysis/589AelScFm0FYQ4VG1biJi,173093,4
0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,audio_features,73SpzrcaHk0RQPFP73vqVR,spotify:track:73SpzrcaHk0RQPFP73vqVR,https://api.spotify.com/v1/tracks/73SpzrcaHk0RQPFP73vqVR,https://api.spotify.com/v1/audio-analysis/73SpzrcaHk0RQPFP73vqVR,242265,4
0.504,0.4,9,-13.031,1,0.0279,0.361,0.000158,0.211,0.475,89.422,audio_features,0OAnoLrIVxpdne3mkVLrwr,spotify:track:0OAnoLrIVxpdne3mkVLrwr,https://api.spotify.com/v1/tracks/0OAnoLrIVxpdne3mkVLrwr,https://api.spotify.com/v1/audio-analysis/0OAnoLrIVxpdne3mkVLrwr,195560,4
0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,audio_features,6VObnIkLVruX4UVyxWhlqm,spotify:track:6VObnIkLVruX4UVyxWhlqm,https://api.spotify.com/v1/tracks/6VObnIkLVruX4UVyxWhlqm,https://api.spotify.com/v1/audio-analysis/6VObnIkLVruX4UVyxWhlqm,286480,4
0.48,0.447,4,-10.962,0,0.036,0.74,0.00437,0.0858,0.255,96.771,audio_features,3Tp3nTswQmMzmQRqZu4iM2,spotify:track:3Tp3nTswQmMzmQRqZu4iM2,https://api.spotify.com/v1/tracks/3Tp3nTswQmMzmQRqZu4iM2,https://api.spotify.com/v1/audio-analysis/3Tp3nTswQmMzmQRqZu4iM2,161933,4
0.261,0.302,5,-8.19,0,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418,audio_features,1PWnAEQcbwQwK759otUbta,spotify:track:1PWnAEQcbwQwK759otUbta,https://api.spotify.com/v1/tracks/1PWnAEQcbwQwK759otUbta,https://api.spotify.com/v1/audio-analysis/1PWnAEQcbwQwK759otUbta,278987,3
0.368,0.403,10,-12.699,1,0.0288,0.703,7.66e-06,0.202,0.338,135.384,audio_features,49RUdNvwSiUTC8fBh4KKoC,spotify:track:49RUdNvwSiUTC8fBh4KKoC,https://api.spotify.com/v1/tracks/49RUdNvwSiUTC8fBh4KKoC,https://api.spotify.com/v1/audio-analysis/49RUdNvwSiUTC8fBh4KKoC,212667,4
0.653,0.51,11,-10.59,0,0.0266,0.00456,0.000355,0.073,0.373,102.021,audio_features,528QhCT2v3HgD71RmrSUNW,spotify:track:528QhCT2v3HgD71RmrSUNW,https://api.spotify.com/v1/tracks/528QhCT2v3HgD71RmrSUNW,https://api.spotify.com/v1/audio-analysis/528QhCT2v3HgD71RmrSUNW,288400,4
0.194,0.427,11,-9.511,1,0.0309,0.135,8.37e-05,0.0865,0.33,90.612,audio_features,18y85RXNwPsaqTwKPfTqZI,spotify:track:18y85RXNwPsaqTwKPfTqZI,https://api.spotify.com/v1/tracks/18y85RXNwPsaqTwKPfTqZI,https://api.spotify.com/v1/audio-analysis/18y85RXNwPsaqTwKPfTqZI,165453,4
0.304,0.33,2,-11.776,0,0.0315,0.77,1.19e-06,0.163,0.306,87.95,audio_features,5dWu3rtTytLVDSkOkTaBVl,spotify:track:5dWu3rtTytLVDSkOkTaBVl,https://api.spotify.com/v1/tracks/5dWu3rtTytLVDSkOkTaBVl,https://api.spotify.com/v1/audio-analysis/5dWu3rtTytLVDSkOkTaBVl,155840,4
0.183,0.494,5,-9.995,0,0.0333,0.274,1.23e-05,0.38,0.503,95.963,audio_features,4LU5jR2Vmj0lZiA8tHXIia,spotify:track:4LU5jR2Vmj0lZiA8tHXIia,https://api.spotify.com/v1/tracks/4LU5jR2Vmj0lZiA8tHXIia,https://api.spotify.com/v1/audio-analysis/4LU5jR2Vmj0lZiA8tHXIia,183627,4
0.788,0.777,0,-6.213,0,0.0844,0.0681,0.00194,0.11,0.427,123.994,audio_features,4NvgRMckw4uzjNn2t7taPe,spotify:track:4NvgRMckw4uzjNn2t7taPe,https://api.spotify.com/v1/tracks/4NvgRMckw4uzjNn2t7taPe,https://api.spotify.com/v1/audio-analysis/4NvgRMckw4uzjNn2t7taPe,276987,4
0.486,0.765,4,-4.23,0,0.128,0.0239,3.02e-05,0.11,0.386,141.933,audio_features,3ODl8J0TZAykdMCtCIO28n,spotify:track:3ODl8J0TZAykdMCtCIO28n,https://api.spotify.com/v1/tracks/3ODl8J0TZAykdMCtCIO28n,https://api.spotify.com/v1/audio-analysis/3ODl8J0TZAykdMCtCIO28n,262240,4
0.694,0.78,2,-7.872,0,0.0267,0.121,0.00157,0.114,0.829,120.266,audio_features,4tWe3Fr8HrQPq2iFOpEGZs,spotify:track:4tWe3Fr8HrQPq2iFOpEGZs,https://api.spotify.com/v1/tracks/4tWe3Fr8HrQPq2iFOpEGZs,https://api.spotify.com/v1/audio-analysis/4tWe3Fr8HrQPq2iFOpEGZs,254347,4
0.391,0.375,7,-12.573,1,0.046,0.0797,0.013,0.143,0.116,153.802,audio_features,0VV8wkOM4w78A2OHZOTzNP,spotify:track:0VV8wkOM4w78A2OHZOTzNP,https://api.spotify.com/v1/tracks/0VV8wkOM4w78A2OHZOTzNP,https://api.spotify.com/v1/audio-analysis/0VV8wkOM4w78A2OHZOTzNP,192773,4
0.368,0.864,11,-3.335,0,0.0393,0.0197,0.0,0.234,0.374,137.526,audio_features,4MR9iW77LJoPPDjwAYbIZZ,spotify:track:4MR9iW77LJoPPDjwAYbIZZ,https://api.spotify.com/v1/tracks/4MR9iW77LJoPPDjwAYbIZZ,https://api.spotify.com/v1/audio-analysis/4MR9iW77LJoPPDjwAYbIZZ,240227,4
0.401,0.446,4,-9.646,1,0.0416,0.265,0.0,0.298,0.425,103.906,audio_features,7r0EUONfPUZ8SD1vu4ro27,spotify:track:7r0EUONfPUZ8SD1vu4ro27,https://api.spotify.com/v1/tracks/7r0EUONfPUZ8SD1vu4ro27,https://api.spotify.com/v1/audio-analysis/7r0EUONfPUZ8SD1vu4ro27,168733,4
0.477,0.855,10,-4.612,0,0.03,0.0421,0.0843,0.126,0.462,85.806,audio_features,0wnIPcs7V0XMwtcg0yjKpg,spotify:track:0wnIPcs7V0XMwtcg0yjKpg,https://api.spotify.com/v1/tracks/0wnIPcs7V0XMwtcg0yjKpg,https://api.spotify.com/v1/audio-analysis/0wnIPcs7V0XMwtcg0yjKpg,237733,4
0.244,0.44,7,-7.777,1,0.0475,0.871,8.65e-05,0.372,0.113,82.02,audio_features,4jRJWlkCn3pAwezfqFODU3,spotify:track:4jRJWlkCn3pAwezfqFODU3,https://api.spotify.com/v1/tracks/4jRJWlkCn3pAwezfqFODU3,https://api.spotify.com/v1/audio-analysis/4jRJWlkCn3pAwezfqFODU3,184480,4
0.706,0.814,1,-5.405,1,0.0569,0.0159,0.0,0.262,0.778,125.472,audio_features,6I4snLrVOrJsLdd43isc27,spotify:track:6I4snLrVOrJsLdd43isc27,https://api.spotify.com/v1/tracks/6I4snLrVOrJsLdd43isc27,https://api.spotify.com/v1/audio-analysis/6I4snLrVOrJsLdd43isc27,217693,4
0.574,0.656,2,-7.834,1,0.0316,0.128,0.0,0.18,0.38,77.976,audio_features,2ytwDkF0RLOi6qL2uJ2cQG,spotify:track:2ytwDkF0RLOi6qL2uJ2cQG,https://api.spotify.com/v1/tracks/2ytwDkF0RLOi6qL2uJ2cQG,https://api.spotify.com/v1/audio-analysis/2ytwDkF0RLOi6qL2uJ2cQG,314467,4
0.237,0.474,5,-9.83,0,0.0317,0.233,0.00544,0.441,0.141,108.805,audio_features,3peBSjcjaouspgb68WK2sk,spotify:track:3peBSjcjaouspgb68WK2sk,https://api.spotify.com/v1/tracks/3peBSjcjaouspgb68WK2sk,https://api.spotify.com/v1/audio-analysis/3peBSjcjaouspgb68WK2sk,291267,3
0.401,0.444,1,-11.391,1,0.0306,0.0596,0.0,0.0874,0.349,124.746,audio_features,3M0zi8iD2KRzY71XcGFUpE,spotify:track:3M0zi8iD2KRzY71XcGFUpE,https://api.spotify.com/v1/tracks/3M0zi8iD2KRzY71XcGFUpE,https://api.spotify.com/v1/audio-analysis/3M0zi8iD2KRzY71XcGFUpE,155600,4
0.27,0.293,11,-11.897,1,0.0284,0.864,0.0162,0.15,0.189,96.172,audio_features,0XCszZIzEncBpgAMkKoDB2,spotify:track:0XCszZIzEncBpgAMkKoDB2,https://api.spotify.com/v1/tracks/0XCszZIzEncBpgAMkKoDB2,https://api.spotify.com/v1/audio-analysis/0XCszZIzEncBpgAMkKoDB2,189173,4
